ticker,id,created_at,user,body
CAT,556467264,2024-01-02 20:09:19,timetravelBob,$CAT lol stock pro just said it was 12 % over valued those bots what will they think of next
CAT,556466244,2024-01-02 20:03:27,STCKPRO,$CAT NEW ARTICLE : Dow Jones Leader Caterpillar In Buy Area; AI Giant Nvidia At Crossroads https://www.stck.pro/news/CAT/71454922/
CAT,556455241,2024-01-02 18:51:22,cctranscripts,Caterpillar director was just granted 127 restricted shares  https://www.conferencecalltranscripts.org/summary/?id=12834096 $CAT
CAT,556454957,2024-01-02 18:49:23,cctranscripts,Caterpillar director was just granted 127 restricted shares  https://www.conferencecalltranscripts.org/summary/?id=12834094 $CAT
CAT,556417512,2024-01-02 15:05:35,JFDI,$TSCO $DE $CAT
CAT,556394939,2024-01-02 12:01:04,tickeron,Which stock is the best to invest? Compare $CAT vs. $CPT vs. $CVX. #Caterpillar https://srnk.us/go/4957694
CAT,556390172,2024-01-02 09:47:45,STCKPRO,$CAT NEW ARTICLE : SPLG: S&amp;P 500 Dashboard For January 2024 https://www.stck.pro/news/CAT/71409090/
CAT,556374163,2024-01-02 01:19:36,timetravelBob,$CAT china china china = problems for cat big trouble ahead!
CAT,556367747,2024-01-01 23:41:35,shortvolumes,Short sale volume (not short interest) for $CAT on 2023-12-29 is 64%. http://shortvolumes.com/?t=CAT via @shortvolumes
CAT,556358877,2024-01-01 20:02:32,coolio1982,@dennismccain $CAT
CAT,556346263,2024-01-01 13:58:59,Honeystocks,"$CAT - Caterpillar Inc Chart &amp; Price Targets 
 
1 of our buy low : sell high charts has hit our targets, but I&#39;ve re-worked the chart this weekend for our members and a break above $300 (that sticks), could bring in $385 as a logical target. 
 
Access  BelowðŸ‘‡ 
https://www.honeystocks.com/join"
CAT,556343884,2024-01-01 11:33:55,tickeron,What are the most profitable stocks right now? Pick the best $CAT vs. $CPT vs. $CVX. #Caterpillar https://srnk.us/go/4956768
CAT,556343624,2024-01-01 11:03:40,tickeron,$CAT vs. $CPT vs. $CVX: which stock is the best to buy? #Caterpillar https://srnk.us/go/4956733
